"EWFI",10-Sep,62.52,-0.77,81.40,-0.57,70.15,-0.61
"EWFR",10-Sep,57.30,-0.71,74.60,-0.53,64.29,-0.57
"EWFRB",10-Sep,52.66,-0.66,68.57,-0.49,59.09,-0.53
"GBL",10-Sep,63.19,-0.45,,,,
"INV",10-Sep,63.74,-0.46,,,,
"FREE",10-Sep,37.82,-0.23,,,,
"CHINA",10-Sep,124.14,-1.84,,,,
"FRONT",10-Sep,19.50,-0.02,,,,
"PHOENIX",10-Sep,20.53,+0.09,,,,
"CG",10-Sep,64.04,-0.45,,,,
"CI",10-Sep,65.31,-0.49,,,,
"CF",10-Sep,38.05,-0.26,,,,
"EUREKA",10-Sep,11.73,-0.07,,,,
"GPLUSA",10-Sep,15.89,+0.04,,,,
"GPLUSB",10-Sep,15.92,+0.04,,,,
"CARDINALA",10-Sep,10.47,+0.05,,,,
"UNIQUE",10-Sep,8.25,-0.06,,,,
"APOLLO",10-Sep,10.56,+0.04,,,,